index,AutoReg,AutoReg_min,AutoReg_max,Decision_tree,Decision_tree_min,Decision_tree_max,Final,Final_min,Final_max
2023-09-30 00:00:00,2254.0,2239.0,2268.0,2246.0,2225.0,2268.0,2250.0,2233.0,2267.0
2023-10-31 00:00:00,2169.0,2167.0,2171.0,2098.0,2085.0,2110.0,2133.0,2127.0,2140.0
2023-11-30 00:00:00,2152.0,2150.0,2153.0,2060.0,2049.0,2071.0,2106.0,2100.0,2112.0
2023-12-31 00:00:00,2137.0,2136.0,2139.0,2067.0,2049.0,2085.0,2102.0,2093.0,2111.0
Quarter,2153.0,2150.0,2156.0,2075.0,2067.0,2084.0,2114.0,2109.0,2119.0
