date,AutoReg,AutoReg_min,AutoReg_max,Decision_tree,Decision_tree_min,Decision_tree_max,Final,Final_min,Final_max
2023-09-30 00:00:00,19629.0,19324.0,19934.0,19629.0,19324.0,19934.0,19629.0,19324.0,19934.0
2023-10-31 00:00:00,18379.0,18356.0,18402.0,23942.0,23942.0,23942.0,21161.0,21149.0,21172.0
2023-11-30 00:00:00,18199.0,18178.0,18221.0,23942.0,23942.0,23942.0,21071.0,21060.0,21082.0
2023-12-31 00:00:00,18040.0,18022.0,18059.0,23942.0,23942.0,23942.0,20991.0,20982.0,21001.0
Quarter,18212.0,18176.0,18248.0,23942.0,23942.0,23942.0,21077.0,21059.0,21095.0
