iter	Passed	Remaining
415	3344	4695
416	3352	4686
417	3360	4678
418	3367	4669
419	3374	4659
420	3381	4650
421	3389	4642
422	3397	4634
423	3405	4626
424	3412	4617
425	3419	4607
426	3437	4612
427	3444	4603
428	3452	4594
429	3459	4585
430	3466	4576
431	3474	4567
432	3481	4558
433	3488	4548
434	3495	4540
435	3503	4531
436	3510	4522
437	3517	4513
438	3524	4503
439	3531	4495
440	3538	4485
441	3545	4476
442	3552	4467
443	3559	4457
444	3566	4448
445	3574	4439
446	3581	4430
447	3588	4420
448	3595	4412
449	3603	4403
450	3610	4394
451	3617	4386
452	3625	4377
453	3632	4368
454	3639	4359
455	3646	4350
456	3653	4341
457	3661	4332
458	3668	4323
459	3675	4314
460	3682	4305
461	3689	4296
462	3696	4287
463	3703	4278
464	3711	4270
465	3718	4260
466	3726	4252
467	3732	4243
468	3739	4234
469	3746	4224
470	3753	4215
471	3760	4207
472	3767	4197
473	3774	4188
474	3781	4179
475	3788	4170
476	3795	4161
477	3802	4152
478	3810	4144
479	3816	4134
480	3824	4126
481	3833	4119
482	3840	4111
483	3847	4101
484	3854	4092
485	3862	4084
486	3869	4075
487	3876	4067
488	3883	4058
489	3891	4049
490	3897	4040
491	3904	4031
492	3911	4022
493	3918	4013
494	3927	4006
495	3934	3998
496	3941	3989
497	3948	3980
498	3956	3971
499	3962	3962
500	3969	3954
501	3977	3945
502	3984	3936
503	3992	3929
504	3999	3920
505	4006	3911
506	4013	3902
507	4020	3894
508	4028	3885
509	4035	3877
510	4042	3868
511	4049	3859
