,date,price,max,min,p_max,p_min
0,2023-10-31 00:00:00,8380.0,8490.0,8260.0,0.387,0.613
1,2023-11-30 00:00:00,8330.0,8450.0,8210.0,0.226,0.774
2,2023-12-31 00:00:00,8300.0,8420.0,8180.0,0.333,0.667
0,3 months ahead,8340.0,8460.0,8230.0,0.312,0.688
