LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2905.0,2876.5,51.35
2960.5,2925.0,51.5
2955.5,2922.0,51.925
2972.0,2945.0,53.1
2966.0,2947.0,53.275
3011.0,2995.0,53.3
3061.5,3048.0,53.475
3096.0,3071.0,53.325
3028.0,3000.0,53.35
2989.0,2967.5,53.425
2956.0,2915.0,53.625
2986.0,2955.5,53.625
3015.0,2972.0,53.9
2830.0,2812.0,53.775
2938.0,2922.0,54.45
2944.0,2931.0,59.5
3035.0,3017.0,61.475
3131.5,3121.0,63.85
3132.0,3127.0,67.5
3201.5,3180.0,69.85
3145.0,3114.0,75.675
3124.0,3087.0,75.7
3225.0,3205.0,76.1
3215.0,3190.0,76.375
3319.5,3299.0,76.425
3248.0,3228.0,76.85
3222.5,3195.5,77.025
3192.0,3161.0,77.275
3171.0,3130.0,77.35
3217.0,3166.0,77.4
3265.0,3214.0,77.475
3144.5,3106.0,77.5
3300.0,3234.0,77.15
3540.0,3455.0,77.05
3592.0,3500.0,76.975
3678.0,3598.0,77.05
3622.0,3544.0,77.125
3561.0,3490.0,77.175
3520.0,3455.5,76.425
3550.0,3489.0,74.725
3532.0,3485.0,74.725
3574.0,3507.0,74.95
3635.5,3556.0,75.0
3877.0,3798.0,75.175
3621.0,3532.0,74.2
3672.0,3580.0,74.5
3727.0,3613.0,74.6
3632.0,3522.0,74.1
3577.0,3467.0,73.275
3507.0,3421.0,73.55
3550.0,3440.5,73.925
3431.0,3326.0,70.0
3355.0,3269.0,66.925
3445.0,3339.5,68.05
3405.5,3292.5,69.725
3351.0,3262.0,70.5
3246.0,3142.0,70.8
3116.0,3030.0,71.825
3140.0,3048.0,72.25
3050.0,2979.0,72.525
3045.0,2978.0,72.475
3005.0,2937.0,72.825
3090.0,3013.0,73.425
3045.0,2958.0,73.25
3032.0,2989.0,74.675
2921.0,2858.0,77.85
2972.0,2895.0,79.475
3060.5,2988.0,82.2
3137.0,3023.0,82.675
3122.0,3055.0,82.775
3151.0,3070.0,82.875
3162.0,3105.0,83.025
3060.0,2995.0,83.15
3041.0,3007.5,83.15
3170.0,3110.0,83.325
3125.0,3057.0,82.8
3251.5,3232.0,81.075
3410.0,3370.0,81.075
3449.5,3378.0,81.525
3450.0,3360.0,81.725
3540.0,3384.5,79.175
3677.0,3477.0,79.9
3699.5,3551.0,78.6
3721.0,3625.0,78.55
3572.0,3509.0,79.425
3580.0,3532.0,80.275
3636.0,3578.0,79.575
3701.0,3654.0,80.125
3661.0,3613.0,81.95
3607.0,3589.0,82.5
3755.0,3738.0,83.8
3792.0,3771.0,84.8
3822.0,3807.0,86.15
3745.5,3747.0,86.875
3913.0,3895.0,88.075
3896.0,3877.0,83.575
3978.0,3952.0,84.675
3976.0,3950.0,84.7
3815.0,3786.0,85.85
3744.0,3736.5,86.6
3750.0,3733.0,85.05
3769.0,3756.0,85.65
3777.0,3760.0,86.0
3755.0,3740.0,86.625
3647.5,3636.0,86.8
3646.5,3635.0,87.1
3687.0,3683.0,86.125
3583.5,3578.0,86.225
3500.0,3492.0,86.55
3541.0,3525.0,86.375
3660.0,3646.0,88.475
3642.0,3630.0,89.3
3655.0,3647.0,92.575
3829.0,3807.0,94.375
3993.0,3962.0,93.175
3955.0,3928.0,94.075
4045.0,3993.0,95.35
4212.0,4164.0,95.35
4230.5,4178.0,96.275
4319.5,4251.0,98.9
4315.0,4242.0,101.25
4279.5,4220.0,101.725
4515.0,4455.0,103.25
4485.0,4420.0,106.125
4510.0,4446.0,108.85
4530.0,4457.0,113.75
4472.0,4432.0,115.6
4515.0,4460.0,117.85
4345.0,4298.0,120.825
4372.0,4305.0,123.675
4280.0,4250.0,125.675
4250.0,4222.0,127.675
4306.0,4274.0,130.425
4310.0,4270.0,134.125
4471.0,4410.0,137.675
4332.0,4264.0,139.95
4260.0,4152.0,141.925
4134.5,4117.0,142.1
4101.0,4086.0,142.25
