LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
7715.0,7615.0,142.95
7688.0,7585.5,145.65
7663.0,7575.0,145.4
7625.5,7565.0,145.525
7587.0,7525.0,145.75
7655.0,7586.5,143.775
7575.5,7554.0,143.775
7744.0,7706.0,140.2
7661.0,7607.0,138.65
7596.0,7545.0,136.75
7524.0,7410.0,135.75
7647.0,7540.5,135.25
7660.5,7560.0,134.9
7353.0,7291.5,133.55
7475.0,7400.0,130.85
7449.0,7350.0,129.0
7446.0,7410.0,124.725
7815.0,7737.0,122.775
7761.5,7710.5,118.0
7796.0,7755.0,107.15
7772.0,7703.0,105.075
7792.0,7660.5,102.0
7806.0,7726.0,103.225
7865.0,7790.0,103.025
8230.0,8095.0,103.65
8026.0,7945.0,105.425
7985.0,7920.0,105.45
7906.0,7798.0,102.725
7730.0,7645.0,103.3
7707.0,7651.0,106.0
7652.5,7606.0,108.45
7587.0,7517.0,110.55
7702.0,7665.0,114.325
7721.0,7701.0,118.5
7910.5,7876.0,121.0
8315.0,8280.5,120.525
8155.0,8120.0,122.125
8031.5,8022.0,123.275
8100.5,8051.0,122.375
8041.0,7991.0,122.575
8051.0,8037.0,123.825
8020.0,8016.0,126.475
7955.0,7962.0,128.875
7992.0,8005.0,129.475
7865.5,7870.5,130.55
8065.0,8072.0,131.85
8140.0,8150.0,131.575
7976.0,7984.5,126.525
7971.5,7977.0,126.975
7835.0,7855.0,127.85
7830.5,7840.0,128.6
7642.0,7653.0,129.575
7774.0,7783.5,130.25
7819.0,7805.0,130.975
7930.5,7940.5,131.275
7800.5,7792.0,130.575
7712.0,7720.0,131.7
7552.0,7570.0,132.5
7591.5,7620.0,132.025
7448.0,7467.0,133.175
7372.0,7393.0,133.925
7231.5,7255.0,133.55
7371.0,7406.0,135.575
7281.5,7305.5,136.2
7320.0,7351.0,130.275
7000.0,7005.0,130.425
7216.0,7237.0,129.25
7267.0,7275.5,130.975
7370.5,7403.0,131.775
7623.0,7645.0,133.1
7790.0,7807.0,133.025
7835.0,7866.0,135.35
7525.5,7540.0,135.775
7807.0,7817.0,136.4
8036.0,8045.0,136.95
7975.5,7982.0,126.85
8245.0,8245.0,124.275
8446.0,8450.0,123.825
8502.0,8505.0,124.625
8353.0,8357.0,124.85
8280.5,8292.0,113.025
8578.0,8600.0,113.475
8729.0,8730.0,114.175
9000.0,9005.0,115.15
8875.0,8865.0,117.025
9101.0,9100.0,118.025
9105.0,9105.0,121.0
9257.0,9262.0,121.525
9263.0,9275.0,119.875
9290.0,9284.0,117.975
9537.0,9540.5,117.75
9630.0,9624.0,118.175
9692.0,9692.0,116.9
9612.0,9612.0,120.775
9712.0,9720.0,140.975
