LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
21460.0,21710.0,53.688
21910.0,22100.0,52.698
21920.0,22100.0,52.698
21750.0,21785.0,52.728
22400.0,22360.0,52.026
22100.0,22260.0,52.026
22360.0,22500.0,52.362
22350.0,22400.0,51.42
22275.0,22250.0,51.558
21300.0,21385.0,51.792
21575.0,21600.0,52.374
22290.0,22350.0,52.758
22900.0,22710.0,51.816
21225.0,21255.0,51.792
21890.0,22000.0,51.864
22150.0,22335.0,51.804
23135.0,23300.0,52.566
24525.0,24565.0,52.248
24860.0,24905.0,52.434
24750.0,24825.0,51.408
24610.0,24800.0,51.702
23500.0,23410.0,51.69
23310.0,23400.0,51.882
23755.0,23760.0,52.464
24655.0,24750.0,53.4
23325.0,23320.0,53.532
22200.0,22300.0,53.556
21400.0,21405.0,53.85
21450.0,21450.0,54.24
21355.0,21450.0,54.342
21000.0,21080.0,54.432
20200.0,20160.0,54.498
20525.0,20585.0,54.54
21255.0,21320.0,54.612
21385.0,21425.0,54.576
21510.0,21560.0,54.846
21250.0,21400.0,55.074
21350.0,21550.0,55.23
21780.0,21855.0,55.392
21810.0,21910.0,55.728
21575.0,21660.0,55.914
21850.0,21860.0,56.01
22035.0,22075.0,56.034
22500.0,22535.0,56.346
21850.0,21900.0,56.184
23225.0,23500.0,56.118
23110.0,23225.0,56.286
21330.0,21425.0,56.244
21355.0,21500.0,56.382
21725.0,21850.0,57.252
22170.0,22215.0,57.624
22035.0,22100.0,57.9
22000.0,22050.0,57.9
22825.0,22875.0,57.942
24025.0,24150.0,57.978
22050.0,22025.0,57.804
21500.0,21510.0,57.99
21300.0,21300.0,58.32
22320.0,22310.0,59.382
22550.0,22600.0,60.168
21530.0,21675.0,60.762
21200.0,21250.0,60.984
21300.0,21375.0,61.41
21350.0,21380.0,62.364
20200.0,20050.0,62.532
19100.0,19050.0,63.084
20335.0,20385.0,63.492
21700.0,21700.0,63.63
21450.0,21540.0,64.074
21500.0,21405.0,64.17
21255.0,21200.0,65.43
22025.0,22150.0,65.718
22225.0,22250.0,66.078
21925.0,21975.0,66.324
22685.0,22750.0,66.624
21650.0,21700.0,66.498
23100.0,23030.0,66.78
24750.0,24705.0,67.116
23900.0,23935.0,67.32
23200.0,23450.0,66.936
22900.0,22850.0,67.296
24110.0,24275.0,67.794
24975.0,24955.0,68.46
25540.0,25600.0,68.736
25230.0,25500.0,68.856
25435.0,25450.0,68.868
25425.0,25625.0,68.922
25650.0,25700.0,69.552
25500.0,25535.0,70.056
26390.0,26525.0,70.176
27570.0,27500.0,70.584
28055.0,28145.0,70.782
28860.0,29150.0,70.992
29050.0,29100.0,71.052
29400.0,29450.0,71.4
27710.0,27800.0,71.472
28700.0,28800.0,71.718
29975.0,30000.0,72.0
27850.0,28200.0,72.24
27550.0,27450.0,72.3
26725.0,26800.0,72.6
26280.0,26250.0,72.12
26800.0,26750.0,71.922
27950.0,27900.0,71.898
26125.0,26200.0,72.228
26180.0,26320.0,73.002
26300.0,26250.0,72.948
26105.0,26130.0,73.128
27425.0,27475.0,72.708
27600.0,27625.0,72.942
27800.0,27900.0,72.828
27760.0,27910.0,73.122
28400.0,28350.0,73.308
29930.0,30040.0,73.464
30200.0,30325.0,73.608
30385.0,30450.0,72.384
30910.0,31025.0,72.768
32430.0,32525.0,72.852
33275.0,33300.0,72.642
33300.0,33205.0,72.564
32825.0,32675.0,72.738
32650.0,32505.0,72.99
33850.0,33925.0,72.678
33775.0,33800.0,73.068
33800.0,33750.0,72.894
33700.0,33725.0,72.534
33250.0,33225.0,72.6
33000.0,32975.0,72.858
32450.0,32450.0,73.23
32925.0,32850.0,73.452
34100.0,34000.0,73.692
33500.0,33475.0,74.19
33600.0,33520.0,73.902
33750.0,33775.0,72.924
33690.0,33600.0,73.362
32800.0,32750.0,72.39
33400.0,33350.0,72.57
32750.0,32650.0,72.54
33100.0,32700.0,72.63
34050.0,34050.0,72.816
35550.0,0.0,72.924
35550.0,0.0,73.074
35550.0,0.0,73.242
30800.0,0.0,73.578
30800.0,0.0,73.632
30800.0,0.0,74.358
30800.0,0.0,74.274
30800.0,0.0,74.688
30800.0,0.0,74.988
30800.0,0.0,75.318
30800.0,0.0,75.702
30800.0,0.0,74.238
30800.0,0.0,74.778
30800.0,0.0,75.012
42995.0,42200.0,76.83
29800.0,28700.0,77.082
28800.0,27980.0,77.784
27000.0,26350.0,78.162
25450.0,24900.0,79.524
25240.0,24750.0,80.094
24700.0,24240.0,80.088
26105.0,25650.0,81.132
24950.0,24600.0,81.3
25650.0,24870.0,82.314
24870.0,24350.0,83.274
24500.0,24100.0,83.328
24150.0,23775.0,83.736
23905.0,23600.0,83.82
23950.0,23575.0,84.474
23650.0,23425.0,84.894
23705.0,23380.0,84.486
24055.0,23625.0,84.72
23550.0,23150.0,85.644
23530.0,23140.0,85.89
23650.0,23250.0,87.012
23475.0,22975.0,87.504
23225.0,22750.0,88.182
23400.0,22755.0,88.608
23300.0,22750.0,89.364
22800.0,22350.0,90.6
22750.0,22235.0,91.716
22860.0,22575.0,92.034
23425.0,22800.0,92.574
22535.0,22275.0,92.688
23500.0,23050.0,93.102
24000.0,23720.0,93.48
23900.0,23585.0,94.83
22795.0,22540.0,94.83
22740.0,22190.0,94.872
22475.0,21920.0,97.038
22850.0,22425.0,97.746
22130.0,21975.0,98.364
22200.0,21990.0,99.462
21680.0,21500.0,99.744
21045.0,20900.0,99.954
20725.0,20605.0,100.248
20480.0,20360.0,100.494
20900.0,20740.0,101.136
20730.0,20610.0,101.256
20925.0,20750.0,101.886
20700.0,20500.0,103.02
20320.0,20215.0,103.656
20295.0,20125.0,103.848
20180.0,20050.0,104.16
19985.0,19855.0,104.31
