date,AutoReg,AutoReg_min,AutoReg_max,Decision_tree,Decision_tree_min,Decision_tree_max,Final,Final_min,Final_max
2023-09-30 00:00:00,2178.0,2161.0,2194.0,2178.0,2161.0,2194.0,2178.0,2161.0,2194.0
2023-10-31 00:00:00,2295.0,2292.0,2297.0,2272.0,2272.0,2272.0,2283.0,2282.0,2285.0
2023-11-30 00:00:00,2275.0,2273.0,2278.0,2272.0,2272.0,2272.0,2274.0,2272.0,2275.0
2023-12-31 00:00:00,2258.0,2255.0,2260.0,2272.0,2272.0,2272.0,2265.0,2264.0,2266.0
Quarter,2277.0,2273.0,2280.0,2272.0,2272.0,2272.0,2274.0,2272.0,2276.0
