date,AutoReg,AutoReg_min,AutoReg_max,Decision_tree,Decision_tree_min,Decision_tree_max,Final,Final_min,Final_max
2023-09-30 00:00:00,8271.0,8213.0,8329.0,8271.0,8213.0,8329.0,8271.0,8213.0,8329.0
2023-10-31 00:00:00,8201.0,8194.0,8207.0,8740.0,8706.0,8774.0,8470.0,8456.0,8485.0
2023-11-30 00:00:00,8149.0,8142.0,8155.0,8412.0,8316.0,8508.0,8281.0,8231.0,8331.0
2023-12-31 00:00:00,8101.0,8095.0,8107.0,8333.0,8233.0,8433.0,8217.0,8167.0,8267.0
Quarter,8152.0,8141.0,8162.0,8500.0,8437.0,8564.0,8326.0,8291.0,8361.0
