index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2011-12-19,1955.5,2341.0,4873.025
2011-12-20,1971.0,2301.0,4922.8
2011-12-21,1945.0,2264.5,4953.725
2011-12-22,1965.5,2205.5,4953.025
2011-12-23,1991.5,2210.6666666667,4950.55
2011-12-24,1987.3,2215.8333333333,4954.715
2011-12-25,1983.1,2221.0,4958.88
2011-12-26,1978.9,2231.5,4963.045
2011-12-27,1974.7,2243.5,4967.21
2011-12-28,1970.5,2222.5,4971.375
2011-12-29,1976.0,2243.0,4969.6
2011-12-30,1970.5,2215.0,4970.4
2011-12-31,1979.375,2187.0,4972.4875
2012-01-01,1988.25,2159.0,4974.575
2012-01-02,1997.125,2171.0,4976.6625
2012-01-03,2006.0,2165.0,4978.75
2012-01-04,2052.0,2203.0,4983.175
2012-01-05,2003.5,2212.5,4980.625
2012-01-06,2020.0,2215.5,4975.6
2012-01-07,2033.8333333333,2218.5,4974.0916666667
2012-01-08,2047.6666666667,2221.5,4972.5833333333
2012-01-09,2061.5,2224.5,4971.075
2012-01-10,2138.0,2240.0,4966.475
2012-01-11,2134.5,2220.75,4962.65
2012-01-12,2157.5,2201.5,4973.725
2012-01-13,2110.0,2210.0,4970.55
2012-01-14,2113.6666666667,2218.5,4969.5166666667
2012-01-15,2117.3333333333,2227.0,4968.4833333333
2012-01-16,2121.0,2183.5,4967.45
2012-01-17,2171.5,2196.0,5006.525
2012-01-18,2175.0,2148.0,5005.15
2012-01-19,2181.0,2137.0,5005.225
2012-01-20,2184.0,2151.6666666667,5005.05
2012-01-21,2187.1666666667,2166.3333333333,5006.95
2012-01-22,2190.3333333333,2181.0,5008.85
2012-01-23,2193.5,2221.0,5010.75
2012-01-24,2190.5,2219.0,5007.2
2012-01-25,2186.0,2254.0,5003.8
2012-01-26,2232.0,2241.5,5000.15
2012-01-27,2241.5,2230.6666666667,4996.65
2012-01-28,2231.1666666667,2219.8333333333,4996.5916666667
2012-01-29,2220.8333333333,2209.0,4996.5333333333
2012-01-30,2210.5,2121.5,4996.475
2012-01-31,2257.5,2124.5,4994.425
2012-02-01,2219.5,2146.0,4996.275
2012-02-02,2201.0,2154.0,4992.5
2012-02-03,2159.0,2150.0,4989.0
2012-02-04,2164.5,2146.0,4999.175
2012-02-05,2170.0,2142.0,5009.35
2012-02-06,2175.5,2111.5,5019.525
2012-02-07,2173.0,2127.5,5019.075
2012-02-08,2236.5,2134.5,5031.25
2012-02-09,2232.5,2136.5,5027.475
2012-02-10,2218.5,2144.3333333333,5027.45
2012-02-11,2214.8333333333,2152.1666666667,5039.725
2012-02-12,2211.1666666667,2160.0,5052.0
2012-02-13,2207.5,2138.0,5064.275
2012-02-14,2163.5,2118.5,5114.175
2012-02-15,2174.0,2105.5,5121.3
2012-02-16,2117.0,2107.0,5117.975
2012-02-17,2127.5,2104.1666666667,5120.65
2012-02-18,2128.5,2101.3333333333,5119.4583333333
2012-02-19,2129.5,2098.5,5118.2666666667
2012-02-20,2130.5,2083.0,5117.075
2012-02-21,2175.5,2019.0,5125.8
2012-02-22,2212.0,2024.5,5124.1
2012-02-23,2229.0,2002.0,5118.775
2012-02-24,2253.0,2007.6666666667,5115.475
2012-02-25,2257.6666666667,2013.3333333333,5115.575
2012-02-26,2262.3333333333,2019.0,5115.675
2012-02-27,2267.0,2006.0,5115.775
2012-02-28,2308.0,1988.0,5113.425
2012-02-29,2301.5,2110.0,5107.775
2012-03-01,2289.0,2143.5,5103.0
2012-03-02,2295.5,2131.3333333333,5101.15
2012-03-03,2281.5,2119.1666666667,5099.4583333333
2012-03-04,2267.5,2107.0,5097.7666666667
2012-03-05,2253.5,2105.0,5096.075
2012-03-06,2202.5,2109.0,5087.975
2012-03-07,2173.0,2070.0,5088.275
2012-03-08,2175.0,2069.0,5098.325
2012-03-09,2170.0,2056.1666666667,5090.525
2012-03-10,2168.8333333333,2043.3333333333,5089.6583333333
2012-03-11,2167.6666666667,2030.5,5088.7916666667
2012-03-12,2166.5,2023.0,5087.925
2012-03-13,2187.5,1974.5,5079.5
2012-03-14,2196.5,1986.0,5071.675
2012-03-15,2195.5,2009.5,5073.35
2012-03-16,2222.5,1993.6666666667,5071.95
2012-03-17,2221.3333333333,1977.8333333333,5070.95
2012-03-18,2220.1666666667,1962.0,5069.95
2012-03-19,2219.0,1990.0,5068.95
2012-03-20,2200.5,1981.0,5081.95
2012-03-21,2192.5,1986.0,5088.775
2012-03-22,2139.5,2019.0,5083.9
2012-03-23,2131.0,2014.2,5089.25
2012-03-24,2133.0,2009.4,5087.2666666667
2012-03-25,2135.0,2004.6,5085.2833333333
2012-03-26,2137.0,1999.8,5083.3
2012-03-27,2133.0,1995.0,5078.225
2012-03-28,2138.0,1985.0,5072.525
2012-03-29,2107.5,1992.0,5068.575
2012-03-30,2098.5,2002.75,5063.35
2012-03-31,2092.8333333333,2013.5,5067.875
2012-04-01,2087.1666666667,2024.25,5072.4
2012-04-02,2081.5,2035.0,5076.925
