date,AutoReg,AutoReg_min,AutoReg_max,Decision_tree,Decision_tree_min,Decision_tree_max,Final,Final_min,Final_max
2023-09-30 00:00:00,2488.0,2465.0,2511.0,2488.0,2465.0,2511.0,2488.0,2465.0,2511.0
2023-10-31 00:00:00,2597.0,2596.0,2599.0,2738.0,2725.0,2750.0,2667.0,2661.0,2674.0
2023-11-30 00:00:00,2587.0,2586.0,2588.0,2503.0,2379.0,2627.0,2545.0,2482.0,2607.0
2023-12-31 00:00:00,2578.0,2576.0,2579.0,2323.0,2206.0,2440.0,2450.0,2392.0,2509.0
Quarter,2587.0,2585.0,2589.0,2524.0,2455.0,2594.0,2556.0,2520.0,2591.0
